unity_name,latitude,longitude,geometry
UBS da Rua Misael Barcelos,-20.76916588102009,-41.53487090528177,POINT (-41.53487090528177 -20.76916588102009)
UBS do Bairro Guararema,-20.757693808674713,-41.54047589419822,POINT (-41.54047589419822 -20.757693808674713)
UBS do Bairro Pedro Martins,-20.766329196127764,-41.539254396503345,POINT (-41.539254396503345 -20.766329196127764)
UBS do Bairro Vila Alta,-20.758918328943484,-41.53209153098078,POINT (-41.53209153098078 -20.758918328943484)
UBS do Bairro Vila do Sul,-20.769057173523432,-41.53487087247964,POINT (-41.53487087247964 -20.769057173523432)
UBS de Anutiba,-20.60937447340775,-41.451278526274315,POINT (-41.451278526274315 -20.60937447340775)
UBS de Celina,-20.762789018164955,-41.594855438394106,POINT (-41.594855438394106 -20.762789018164955)
UBS de Rive,-20.75797912318791,-41.45798265860768,POINT (-41.45798265860768 -20.75797912318791)
UBS da Vila do Café,-20.87086381430059,-41.57186149742031,POINT (-41.57186149742031 -20.87086381430059)
UBS de Araraí,-20.592639073776155,-41.555655347279846,POINT (-41.555655347279846 -20.592639073776155)
UBS de Santa Angélica,-20.693185584972976,-41.45314120485679,POINT (-41.45314120485679 -20.693185584972976)
